PopID,CityRegion,Population,Province,Year
3520,Toronto,2731571,Ontario,2016
3521,Peel,1381739,Ontario,2016
3519,York,1109909,Ontario,2016
3506,Ottawa,934243,Ontario,2016
3518,Durham,645862,Ontario,2016
3524,Halton,548435,Ontario,2016
3525,Hamilton,536917,Ontario,2016
3530,Waterloo,535154,Ontario,2016
3543,Simcoe,479650,Ontario,2016
3539,Middlesex,455526,Ontario,2016
3526,Niagara,447888,Ontario,2016
3537,Essex,398953,Ontario,2016
3523,Wellington,222726,Ontario,2016
3553,Greater Sudbury,161647,Ontario,2016
3510,Frontenac,150475,Ontario,2016
3558,Thunder Bay,146048,Ontario,2016
3515,Peterborough,138236,Ontario,2016
3512,Hastings,136445,Ontario,2016
3529,Brant,134808,Ontario,2016
3538,Lambton,126638,Ontario,2016
3557,Algoma,114094,Ontario,2016
3501,Stormont and Dundas and Glengarry,113429,Ontario,2016
3532,Oxford,110862,Ontario,2016
3528,Haldimand-Norfolk,109787,Ontario,2016
3547,Renfrew,102394,Ontario,2016
3536,Chatham-Kent,102042,Ontario,2016
3507,Leeds and Grenville,100546,Ontario,2016
3542,Grey,93830,Ontario,2016
3502,Prescott and Russell,89333,Ontario,2016
3534,Elgin,88978,Ontario,2016
3514,Northumberland,85598,Ontario,2016
3548,Nipissing,83150,Ontario,2016
3556,Cochrane,79682,Ontario,2016
3531,Perth,76796,Ontario,2016
3516,Kawartha Lakes,75423,Ontario,2016
3509,Lanark,68698,Ontario,2016
3541,Bruce,68147,Ontario,2016
3560,Kenora,65533,Ontario,2016
3522,Dufferin,61735,Ontario,2016
3544,Muskoka,60599,Ontario,2016
3540,Huron,59297,Ontario,2016
3511,Lennox and Addington,42888,Ontario,2016
3549,Parry Sound,42824,Ontario,2016
3554,Timiskaming,32251,Ontario,2016
3513,Prince Edward,24735,Ontario,2016
3552,Sudbury,21546,Ontario,2016
3559,Rainy River,20110,Ontario,2016
3546,Haliburton,18062,Ontario,2016
3551,Manitoulin,13255,Ontario,2016
